Equiv_Stress_1	Equiv_Stress_2	Equiv_Stress_3	Equiv_strain_1	Equiv_strain_2	Equiv_strain_3
-0.333708	-0.0147804	0.50739	0.592804	0.902683	-1.82754e-19
-0.370059	0.022454	0.488773	0.605691	0.892704	-1.84448e-19
-0.408921	0.0622601	0.46887	0.618795	0.881896	-1.84448e-19
-0.450474	0.104822	0.447589	0.632141	0.870187	-1.86142e-19
-0.494919	0.150348	0.424826	0.645754	0.857495	-1.86142e-19
-0.542486	0.199069	0.400465	0.659667	0.843725	-1.82754e-19
-0.593431	0.251253	0.374374	0.673914	0.82877	-1.82754e-19
-0.648055	0.307203	0.346399	0.688538	0.812503	-1.82754e-19
-0.7067	0.367273	0.316364	0.703592	0.794779	-1.82754e-19
-0.769771	0.431877	0.284062	0.719134	0.775421	-1.86142e-19
-0.83775	0.501506	0.249247	0.735241	0.754221	-1.86142e-19
