Loading_State_Index	Ultimate_stress_1	Ultimate_stress_2	Ultimate_stress_3	Stress_1	Stress_2	Stress_3	Ultimate_strain_1	Ultimate_strain_2	Ultimate_strain_3	Strain_1	Strain_2	Strain_3
0	-68	0	0	57	4.80171e-15	4.16334e-15	-0.0028	0	0	-0.00176219	0.000528656	0.000528656
0	-68	-1.01049e-07	1.95006e-07	58	4.85723e-15	4.16334e-15	-0.0028	-4.16085e-12	8.02964e-12	-0.00180014	0.000540042	0.000540042
0	-68	-1.01049e-07	1.95006e-07	59	4.91274e-15	4.16334e-15	-0.0028	-4.16085e-12	8.02964e-12	-0.00183891	0.000551674	0.000551674
0	-68	0	0	60	5.19029e-15	4.38538e-15	-0.0028	0	0	-0.0018786	0.000563581	0.000563581
0	-68	-1.01049e-07	1.95006e-07	61	5.2458e-15	4.4964e-15	-0.0028	-4.16085e-12	8.02964e-12	-0.00191932	0.000575797	0.000575797
0	-68	0	0	62	5.35683e-15	4.60743e-15	-0.0028	0	0	-0.00196121	0.000588363	0.000588363
0	-68	0	0	63	5.41234e-15	4.60743e-15	-0.0028	0	0	-0.00200443	0.000601328	0.000601328
0	-68	0	0	64	5.68989e-15	4.82947e-15	-0.0028	0	0	-0.00204918	0.000614754	0.000614754
0	-68	0	0	65	5.68989e-15	4.82947e-15	-0.0028	0	0	-0.00209572	0.000628715	0.000628715
0	-68	0	0	66	5.85643e-15	4.94049e-15	-0.0028	0	0	-0.00214435	0.000643306	0.000643306
0	-68	0	0	67	5.96745e-15	5.05151e-15	-0.0028	0	0	-0.0021955	0.00065865	0.00065865
0	-68	0	0	68	6.02296e-15	5.16254e-15	-0.0028	0	0	-0.00224971	0.000674912	0.000674912
1	-68	0	0	67	5.68989e-15	4.82947e-15	-0.0028	0	0	-0.00230774	0.000692321	0.000692321
1	-68	0	0	66	5.63438e-15	4.82947e-15	-0.0028	0	0	-0.0023707	0.00071121	0.00071121
1	-68	0	0	65	5.30131e-15	4.60743e-15	-0.0028	0	0	-0.00244032	0.000732097	0.000732097
1	-68	0	0	64	5.07927e-15	4.38538e-15	-0.0028	0	0	-0.00251954	0.000755861	0.000755861
1	-68	0	0	63	4.63518e-15	3.94129e-15	-0.0028	0	0	-0.00261408	0.000784225	0.000784225
1	-68	0	0	62	4.08007e-15	3.4972e-15	-0.0028	0	0	-0.00273836	0.000821507	0.000821507
1	-68	0	0	61	3.19189e-15	2.60902e-15	-0.0028	0	0	-0.0029562	0.00088686	0.00088686
1	-68	0	0	60	3.19189e-15	2.60902e-15	-0.0028	0	0	-0.00240603	0.000721808	0.000721808
1	-68	0	0	59	3.52496e-15	2.83107e-15	-0.0028	0	0	-0.00232805	0.000698415	0.000698415
1	-68	0	0	58	1.06304e-14	9.9365e-15	-0.0028	0	0	0.000136403	-4.09209e-05	-4.09209e-05
1	-68	0	0	57	1.05888e-14	9.89486e-15	-0.0028	0	0	0.000129491	-3.88474e-05	-3.88474e-05
1	-68	0	0	56	1.05835e-14	9.89139e-15	-0.0028	0	0	0.000127629	-3.82887e-05	-3.82887e-05
1	-68	0	0	55	1.05835e-14	9.89139e-15	-0.0028	0	0	0.000125753	-3.7726e-05	-3.7726e-05
1	-68	0	0	54	1.05818e-14	9.89139e-15	-0.0028	0	0	0.000124021	-3.72062e-05	-3.72062e-05
1	-68	0	0	53	1.05749e-14	9.88445e-15	-0.0028	0	0	0.000121941	-3.65823e-05	-3.65823e-05
1	-68	0	0	52	1.05705e-14	9.88098e-15	-0.0028	0	0	0.000120884	-3.62652e-05	-3.62652e-05
1	-68	0	0	51	1.05497e-14	9.86711e-15	-0.0028	0	0	0.000115179	-3.45538e-05	-3.45538e-05
1	-68	0	0	50	1.05445e-14	9.86364e-15	-0.0028	0	0	0.000113963	-3.4189e-05	-3.4189e-05
1	-68	0	0	49	1.0548e-14	9.87058e-15	-0.0028	0	0	0.000110261	-3.30783e-05	-3.30783e-05
1	-68	0	0	48	1.05478e-14	9.87036e-15	-0.0028	0	0	0.000110168	-3.30505e-05	-3.30505e-05
1	-68	0	0	47	1.03812e-14	9.75934e-15	-0.0028	0	0	6.1478e-05	-1.84434e-05	-1.84434e-05
1	-68	0	0	46	1.02147e-14	9.53729e-15	-0.0028	0	0	9.7423e-06	-2.92269e-06	-2.92269e-06
1	-68	0	0	45	9.82612e-15	9.20423e-15	-0.0028	0	0	-4.34385e-05	1.30315e-05	1.30315e-05
1	-68	0	0	44	9.54857e-15	8.87116e-15	-0.0028	0	0	-9.59059e-05	2.87718e-05	2.87718e-05
1	-68	0	0	43	9.32652e-15	8.64911e-15	-0.0028	0	0	-0.00014561	4.36831e-05	4.36831e-05
1	-68	0	0	42	9.15999e-15	8.42707e-15	-0.0028	0	0	-0.000191254	5.73761e-05	5.73761e-05
1	-68	0	0	41	9.04897e-15	8.31605e-15	-0.0028	0	0	-0.000232548	6.97644e-05	6.97644e-05
1	-68	0	0	40	8.99346e-15	8.20503e-15	-0.0028	0	0	-0.000270027	8.10081e-05	8.10081e-05
1	-68	0	0	39	8.93795e-15	8.094e-15	-0.0028	0	0	-0.000304635	9.13905e-05	9.13905e-05
1	-68	0	0	38	8.77141e-15	7.98298e-15	-0.0028	0	0	-0.000337343	0.000101203	0.000101203
1	-68	0	0	37	8.68815e-15	7.87196e-15	-0.0028	0	0	-0.000368927	0.000110678	0.000110678
1	-68	0	0	36	8.52161e-15	7.76094e-15	-0.0028	0	0	-0.000399907	0.000119972	0.000119972
1	-68	0	0	35	8.4661e-15	7.76094e-15	-0.0028	0	0	-0.000430586	0.000129176	0.000129176
1	-68	0	0	34	8.38283e-15	7.64991e-15	-0.0028	0	0	-0.000461119	0.000138336	0.000138336
1	-68	0	0	33	8.29957e-15	7.53889e-15	-0.0028	0	0	-0.000491577	0.000147473	0.000147473
1	-68	0	0	32	8.24406e-15	7.48338e-15	-0.0028	0	0	-0.000521993	0.000156598	0.000156598
1	-68	0	0	31	8.16079e-15	7.42787e-15	-0.0028	0	0	-0.000552379	0.000165714	0.000165714
1	-68	0	0	30	8.07752e-15	7.37236e-15	-0.0028	0	0	-0.000582745	0.000174823	0.000174823
1	-68	0	0	29	7.9665e-15	7.26134e-15	-0.0028	0	0	-0.000613095	0.000183928	0.000183928
1	-68	0	0	28	7.88323e-15	7.15031e-15	-0.0028	0	0	-0.000643435	0.000193031	0.000193031
1	-68	0	0	27	7.88323e-15	7.15031e-15	-0.0028	0	0	-0.000673771	0.000202131	0.000202131
1	-68	0	0	26	7.74446e-15	6.98378e-15	-0.0028	0	0	-0.000704108	0.000211232	0.000211232
1	-68	0	0	25	7.77221e-15	7.03929e-15	-0.0028	0	0	-0.000734452	0.000220336	0.000220336
1	-68	0	0	24	7.63343e-15	6.92827e-15	-0.0028	0	0	-0.000764808	0.000229443	0.000229443
1	-68	0	0	23	7.52241e-15	6.81725e-15	-0.0028	0	0	-0.000795184	0.000238555	0.000238555
1	-68	0	0	22	7.43914e-15	6.76174e-15	-0.0028	0	0	-0.000825586	0.000247676	0.000247676
1	-68	0	0	21	7.43914e-15	6.76174e-15	-0.0028	0	0	-0.00085602	0.000256806	0.000256806
1	-68	0	0	20	7.35588e-15	6.65071e-15	-0.0028	0	0	-0.000886493	0.000265948	0.000265948
1	-68	0	0	19	7.27261e-15	6.53969e-15	-0.0028	0	0	-0.000917015	0.000275104	0.000275104
1	-68	0	0	18	7.16159e-15	6.42867e-15	-0.0028	0	0	-0.000947591	0.000284277	0.000284277
1	-68	0	0	17	6.99506e-15	6.20662e-15	-0.0028	0	0	-0.000978232	0.00029347	0.00029347
1	-68	0	0	16	6.9673e-15	6.20662e-15	-0.0028	0	0	-0.00100895	0.000302684	0.000302684
1	-68	0	0	15	6.85628e-15	6.0956e-15	-0.0028	0	0	-0.00103974	0.000311923	0.000311923
1	-68	0	0	14	6.77301e-15	5.98458e-15	-0.0028	0	0	-0.00107063	0.00032119	0.00032119
1	-68	0	0	13	6.68974e-15	5.87356e-15	-0.0028	0	0	-0.00110162	0.000330487	0.000330487
1	-68	0	0	12	6.66199e-15	5.87356e-15	-0.0028	0	0	-0.00113273	0.00033982	0.00033982
1	-68	0	0	11	6.63423e-15	5.87356e-15	-0.0028	0	0	-0.00116397	0.00034919	0.00034919
1	-68	0	0	10	6.57872e-15	5.76253e-15	-0.0028	0	0	-0.00119534	0.000358603	0.000358603
1	-68	0	0	9	6.52321e-15	5.65151e-15	-0.0028	0	0	-0.00122687	0.000368062	0.000368062
1	-68	0	0	8	6.38443e-15	5.54049e-15	-0.0028	0	0	-0.00125857	0.000377572	0.000377572
1	-68	0	0	7	6.30117e-15	5.42947e-15	-0.0028	0	0	-0.00129046	0.000387138	0.000387138
1	-68	0	0	6	6.13463e-15	5.20742e-15	-0.0028	0	0	-0.00132255	0.000396765	0.000396765
1	-68	0	0	5	6.10688e-15	5.20742e-15	-0.0028	0	0	-0.00135486	0.000406459	0.000406459
1	-68	0	0	4	5.85708e-15	4.98538e-15	-0.0028	0	0	-0.00138742	0.000416226	0.000416226
1	-68	0	0	3	5.63503e-15	4.76333e-15	-0.0028	0	0	-0.00142024	0.000426073	0.000426073
1	-68	0	0	2	5.55177e-15	4.65231e-15	-0.0028	0	0	-0.00145336	0.000436007	0.000436007
1	-68	0	0	1	5.35748e-15	4.43027e-15	-0.0028	0	0	-0.00148679	0.000446036	0.000446036
1	-68	0	0	1.11022e-16	5.24645e-15	4.31924e-15	-0.0028	0	0	-0.00152056	0.000456169	0.000456169
1	-68	0	0	1	5.2187e-15	4.31924e-15	-0.0028	0	0	-0.00155472	0.000466416	0.000466416
1	-68	0	0	2	4.99665e-15	4.0972e-15	-0.0028	0	0	-0.00158929	0.000476788	0.000476788
1	-68	0	0	3	4.88563e-15	3.98618e-15	-0.0028	0	0	-0.00162432	0.000487297	0.000487297
1	-68	0	0	4	4.83012e-15	3.98618e-15	-0.0028	0	0	-0.00165985	0.000497956	0.000497956
1	-68	0	0	5	4.66359e-15	3.76413e-15	-0.0028	0	0	-0.00169594	0.000508781	0.000508781
1	-68	0	0	6	4.7191e-15	3.76413e-15	-0.0028	0	0	-0.00173263	0.000519788	0.000519788
1	-68	0	0	7	4.60808e-15	3.65311e-15	-0.0028	0	0	-0.00176999	0.000530998	0.000530998
1	-68	0	0	8	4.44154e-15	3.54209e-15	-0.0028	0	0	-0.00180811	0.000542434	0.000542434
1	-68	0	0	9	4.44154e-15	3.54209e-15	-0.0028	0	0	-0.00184707	0.00055412	0.00055412
1	-68	0	0	10	4.33052e-15	3.43107e-15	-0.0028	0	0	-0.00188696	0.000566088	0.000566088
1	-68	0	0	11	4.2195e-15	3.32004e-15	-0.0028	0	0	-0.00192791	0.000578372	0.000578372
1	-68	0	0	12	4.16399e-15	3.20902e-15	-0.0028	0	0	-0.00197006	0.000591017	0.000591017
1	-68	0	0	13	3.94194e-15	2.98698e-15	-0.0028	0	0	-0.00201358	0.000604073	0.000604073
