dHydro_strain	Plot_devia_strain	X1	Y1	X2	Y2	X3	Y3
-0.00363	0.00278927	0.00139464	0.00241558	-0.00278927	4.93773e-09	0.00139463	-0.00241558
-0.00364	0.00278276	0.00139138	0.00240994	-0.00278276	4.92619e-09	0.00139137	-0.00240994
-0.00365	0.00277617	0.00138808	0.00240423	-0.00277617	4.91453e-09	0.00138807	-0.00240423
-0.00366	0.0027695	0.00138475	0.00239845	-0.0027695	4.90272e-09	0.00138474	-0.00239846
-0.00367	0.00276275	0.00138137	0.00239261	-0.00276275	4.89077e-09	0.00138137	-0.00239261
-0.00368	0.00275592	0.00137796	0.0023867	-0.00275592	4.87869e-09	0.00137795	-0.0023867
-0.00369	0.00274902	0.00137451	0.00238072	-0.00274902	4.86647e-09	0.0013745	-0.00238072
-0.0037	0.00274204	0.00137102	0.00237467	-0.00274204	4.85411e-09	0.00137101	-0.00237468
-0.00371	0.00273498	0.00136749	0.00236856	-0.00273498	4.84161e-09	0.00136748	-0.00236856
-0.00372	0.00272784	0.00136392	0.00236238	-0.00272784	4.82897e-09	0.00136391	-0.00236238
-0.00373	0.00272062	0.00136031	0.00235613	-0.00272062	4.8162e-09	0.0013603	-0.00235613
-0.00374	0.00271333	0.00135666	0.00234981	-0.00271333	4.80329e-09	0.00135666	-0.00234982
-0.00375	0.00270596	0.00135298	0.00234343	-0.00270596	4.79024e-09	0.00135297	-0.00234343
-0.00376	0.00269851	0.00134925	0.00233698	-0.00269851	4.77705e-09	0.00134925	-0.00233698
-0.00377	0.00269098	0.00134549	0.00233046	-0.00269098	4.76372e-09	0.00134548	-0.00233046
-0.00378	0.00268337	0.00134169	0.00232387	-0.00268337	4.75026e-09	0.00134168	-0.00232387
-0.00379	0.00267569	0.00133784	0.00231721	-0.00267569	4.73666e-09	0.00133784	-0.00231722
-0.0038	0.00266793	0.00133396	0.00231049	-0.00266793	4.72292e-09	0.00133396	-0.0023105
-0.00381	0.00266009	0.00133004	0.0023037	-0.00266009	4.70904e-09	0.00133004	-0.00230371
-0.00382	0.00265217	0.00132608	0.00229685	-0.00265217	4.69502e-09	0.00132608	-0.00229685
-0.00383	0.00264417	0.00132209	0.00228992	-0.00264417	4.68087e-09	0.00132208	-0.00228993
-0.00384	0.0026361	0.00131805	0.00228293	-0.0026361	4.66657e-09	0.00131804	-0.00228293
-0.00385	0.00262795	0.00131397	0.00227587	-0.00262795	4.65214e-09	0.00131397	-0.00227587
-0.00386	0.00261972	0.00130986	0.00226874	-0.00261972	4.63757e-09	0.00130985	-0.00226875
-0.00387	0.00261141	0.0013057	0.00226155	-0.00261141	4.62286e-09	0.0013057	-0.00226155
-0.00388	0.00260302	0.00130151	0.00225428	-0.00260302	4.60802e-09	0.0013015	-0.00225429
-0.00389	0.00259456	0.00129728	0.00224695	-0.00259456	4.59304e-09	0.00129727	-0.00224696
-0.0039	0.00258602	0.00129301	0.00223956	-0.00258602	4.57791e-09	0.001293	-0.00223956
-0.00391	0.0025774	0.0012887	0.00223209	-0.0025774	4.56265e-09	0.00128869	-0.0022321
-0.00392	0.0025687	0.00128435	0.00222456	-0.0025687	4.54726e-09	0.00128434	-0.00222456
-0.00393	0.00255992	0.00127996	0.00221696	-0.00255992	4.53172e-09	0.00127995	-0.00221696
-0.00394	0.00255107	0.00127553	0.00220929	-0.00255107	4.51605e-09	0.00127553	-0.0022093
-0.00395	0.00254214	0.00127107	0.00220156	-0.00254214	4.50023e-09	0.00127106	-0.00220156
-0.00396	0.00253313	0.00126656	0.00219375	-0.00253313	4.48428e-09	0.00126656	-0.00219376
-0.00397	0.00252404	0.00126202	0.00218588	-0.00252404	4.4682e-09	0.00126201	-0.00218589
-0.00398	0.00251487	0.00125744	0.00217794	-0.00251487	4.45197e-09	0.00125743	-0.00217795
-0.00399	0.00250563	0.00125281	0.00216994	-0.00250563	4.43561e-09	0.00125281	-0.00216994
-0.004	0.00249631	0.00124815	0.00216186	-0.00249631	4.4191e-09	0.00124815	-0.00216187
-0.00401	0.00248691	0.00124345	0.00215372	-0.00248691	4.40246e-09	0.00124345	-0.00215373
-0.00402	0.00247743	0.00123871	0.00214552	-0.00247743	4.38568e-09	0.00123871	-0.00214552
-0.00403	0.00246787	0.00123394	0.00213724	-0.00246787	4.36877e-09	0.00123393	-0.00213724
-0.00404	0.00245824	0.00122912	0.0021289	-0.00245824	4.35171e-09	0.00122911	-0.0021289
-0.00405	0.00244853	0.00122426	0.00212049	-0.00244853	4.33452e-09	0.00122426	-0.00212049
-0.00406	0.00243874	0.00121937	0.00211201	-0.00243874	4.31719e-09	0.00121936	-0.00211201
