dHydro_stress	Plot_devia_stress	X1	Y1	X2	Y2	X3	Y3
-55.3752	66.387	33.1935	57.4929	-66.387	0.000117522	33.1933	-57.493
-55.8752	66.7087	33.3543	57.7714	-66.7087	0.000118091	33.3541	-57.7715
-56.3752	67.0295	33.5148	58.0493	-67.0295	0.000118659	33.5146	-58.0494
-56.8752	67.3495	33.6747	58.3264	-67.3495	0.000119226	33.6745	-58.3265
-57.3752	67.6686	33.8343	58.6028	-67.6686	0.000119791	33.8341	-58.6029
-57.8752	67.987	33.9935	58.8784	-67.987	0.000120354	33.9933	-58.8786
-58.3752	68.3045	34.1522	59.1534	-68.3045	0.000120916	34.152	-59.1535
-58.8752	68.6212	34.3106	59.4277	-68.6212	0.000121477	34.3104	-59.4278
-59.3752	68.9371	34.4685	59.7013	-68.9371	0.000122036	34.4683	-59.7014
-59.8752	69.2522	34.6261	59.9741	-69.2522	0.000122594	34.6259	-59.9743
-60.3752	69.5665	34.7832	60.2463	-69.5665	0.00012315	34.783	-60.2464
-60.8752	69.88	34.94	60.5178	-69.88	0.000123705	34.9398	-60.5179
-61.3752	70.1927	35.0963	60.7887	-70.1927	0.000124259	35.0961	-60.7888
-61.8752	70.5046	35.2523	61.0588	-70.5046	0.000124811	35.2521	-61.0589
-62.3752	70.8158	35.4079	61.3283	-70.8158	0.000125362	35.4077	-61.3284
-62.8752	71.1262	35.5631	61.5971	-71.1262	0.000125912	35.5629	-61.5973
-63.3752	71.4359	35.718	61.8653	-71.4359	0.00012646	35.7177	-61.8654
-63.8752	71.7448	35.8724	62.1328	-71.7448	0.000127007	35.8722	-62.133
-64.3752	72.053	36.0265	62.3997	-72.053	0.000127552	36.0263	-62.3998
-64.8752	72.3604	36.1802	62.6659	-72.3604	0.000128096	36.18	-62.6661
-65.3752	72.6671	36.3335	62.9315	-72.6671	0.000128639	36.3333	-62.9316
-65.8752	72.973	36.4865	63.1965	-72.973	0.000129181	36.4863	-63.1966
-66.3752	73.2782	36.6391	63.4608	-73.2782	0.000129721	36.6389	-63.4609
-66.8752	73.5827	36.7914	63.7245	-73.5827	0.00013026	36.7911	-63.7246
-67.3752	73.8865	36.9432	63.9876	-73.8865	0.000130798	36.943	-63.9877
-67.8752	74.1896	37.0948	64.25	-74.1896	0.000131335	37.0946	-64.2502
