dHydro_strain	Plot_devia_strain	X1	Y1	X2	Y2	X3	Y3
-0.000341919	0.403326	0.201663	0.34929	-0.403326	7.1399e-07	0.201662	-0.349291
-0.000351919	0.405083	0.202542	0.350812	-0.405083	7.17101e-07	0.20254	-0.350813
-0.000361919	0.406834	0.203417	0.352328	-0.406834	7.202e-07	0.203416	-0.352329
-0.000371919	0.408576	0.204288	0.353838	-0.408576	7.23285e-07	0.204287	-0.353838
-0.000381919	0.410312	0.205156	0.35534	-0.410312	7.26357e-07	0.205155	-0.355341
-0.000391919	0.41204	0.20602	0.356837	-0.41204	7.29416e-07	0.206019	-0.356838
-0.000401919	0.413761	0.20688	0.358328	-0.413761	7.32463e-07	0.206879	-0.358328
-0.000411919	0.415475	0.207737	0.359812	-0.415475	7.35497e-07	0.207736	-0.359813
-0.000421919	0.417182	0.208591	0.36129	-0.417182	7.38519e-07	0.20859	-0.361291
-0.000431919	0.418882	0.209441	0.362762	-0.418882	7.41528e-07	0.20944	-0.362763
-0.000441919	0.420575	0.210287	0.364228	-0.420575	7.44525e-07	0.210286	-0.364229
-0.000451919	0.422261	0.211131	0.365689	-0.422261	7.4751e-07	0.211129	-0.36569
-0.000461919	0.423941	0.21197	0.367143	-0.423941	7.50484e-07	0.211969	-0.367144
-0.000471919	0.425614	0.212807	0.368592	-0.425614	7.53446e-07	0.212806	-0.368593
-0.000481919	0.42728	0.21364	0.370036	-0.42728	7.56396e-07	0.213639	-0.370036
-0.000491919	0.42894	0.21447	0.371473	-0.42894	7.59335e-07	0.214469	-0.371474
-0.000501919	0.430594	0.215297	0.372905	-0.430594	7.62262e-07	0.215296	-0.372906
-0.000511919	0.432242	0.216121	0.374332	-0.432242	7.65178e-07	0.216119	-0.374333
-0.000521919	0.433883	0.216941	0.375753	-0.433883	7.68084e-07	0.21694	-0.375754
-0.000531919	0.435518	0.217759	0.377169	-0.435518	7.70978e-07	0.217758	-0.37717
-0.000541919	0.437147	0.218573	0.37858	-0.437147	7.73862e-07	0.218572	-0.378581
-0.000551919	0.43877	0.219385	0.379986	-0.43877	7.76735e-07	0.219383	-0.379986
-0.000561919	0.440387	0.220193	0.381386	-0.440387	7.79597e-07	0.220192	-0.381387
-0.000571919	0.441998	0.220999	0.382781	-0.441998	7.82449e-07	0.220997	-0.382782
-0.000581919	0.443603	0.221801	0.384171	-0.443603	7.85291e-07	0.2218	-0.384172
-0.000591919	0.445202	0.222601	0.385557	-0.445202	7.88122e-07	0.2226	-0.385557
-0.000601919	0.446796	0.223398	0.386937	-0.446796	7.90944e-07	0.223397	-0.386938
